URL,PR page,PR main,IP,Subnet,Server Country,Server Region,Google Index,Google index domain main,Google index URL,Google index URL main,Google cache,Backlinks Ahrefs,Links to this Page,Referring Domains,Text Backlinks,Referring IP Addresses Ahrefs,Class C Subnets,Bing,Yahoo catalog,Backlinks Majesticseo,Referring Domains MajesticSEO,Citation Flow,Trust Flow,Organic Keywords Semrush,Difference SemRush Organic Keywords,DMOZ,Moz Page Authority,Moz Domain Authority,Page MozRank,Page MozTrust,Domain MozRank,Domain MozTrust,Moz Link Count,Alexa Rank,Alexa Rank Local,Alexa Sites Linking,Domain Merge,Google Domain Mentions,Site links,Link Stat,Language,Web.Arch Domain Age,WhoIs Domain Age,Status Code,FB Likes,FB Shares,FB Total,Google +1,Twitter,StumbleUpon,Diggs,Pins,LinkedIn,Rating
http://allthingsd.com,7,7,192.0.65.213,,n/f,n/f,186000,29600,1,1,5/17/2014 5:23,n/f,n/f,n/f,n/f,n/f,n/f,165000,n/f,,,,,22988,-1,No,91.4,90.24,6.57,6.77,7.09,7.2,242185,16154,6677,22132,Yes,7620000,0,0/36,simple/English,7y 4m 2d,7y 8m 26d,301,29,96,132,0,4487,0,0,156,773,0
http://www.kqed.org,0,0,208.69.42.40,,United States,California,898000,11600,1,1,5/16/2014 8:05,n/f,n/f,n/f,n/f,n/f,n/f,0,n/f,,,,,26692,-1,Yes,88.43,86.51,6.97,7.02,6.77,7.1,89817,15373,3594,9478,No,n/f,0,461/16,English/simple,17y 6m 9d,20y 2m 19d,200,1038,821,2386,3269,1084,0,0,13,127,0
http://cit.edu.au,6,6,161.50.50.78,,Australia,Australian Capital Territory,13000,2510,1,1,5/15/2014 15:21,n/f,n/f,n/f,n/f,n/f,n/f,1080000,n/f,,,,,229,-1,Yes,60.39,52.46,5.88,6.13,5.19,5.45,4754,327893,5543,210,No,,,,,,,,,,,,,,,,,0
http://www.asiapacific.ca,7,7,76.74.247.39,,Canada,British Columbia,64700,1380,1,1,5/16/2014 10:35,n/f,n/f,n/f,n/f,n/f,n/f,0,n/f,,,,,106,-1,Yes,63.91,56.48,7.05,6.41,5.27,5.99,1704,1679763,n/f,288,No,,,,,,,,,,,,,,,,,0
http://www.qub.ac.uk,7,7,143.117.143.26,,United Kingdom,Belfast,45700,21400,1,1,5/16/2014 1:52,n/f,n/f,n/f,n/f,n/f,n/f,0,n/f,,,,,1631,-1,No,86.11,82.95,6.68,6.65,6.36,6.99,48361,62735,3681,4361,No,,,,,,,,,,,,,,,,,0
http://www.alia.org.au,7,7,110.34.53.6,,Australia,,2350,1190,1,1,5/16/2014 18:02,n/f,n/f,n/f,n/f,n/f,n/f,0,n/f,,,,,93,-1,Yes,68.8,63.96,5.83,6.22,5.5,6.1,5844,779813,n/f,679,No,,,,,,,,,,,,,,,,,0
http://nadaguides.com,7,7,64.7.209.105,,United States,Georgia,4810000,123000,1,1,5/16/2014 6:40,n/f,n/f,n/f,n/f,n/f,n/f,405000,n/f,,,,,83831,-1,No,60.6,80.81,5.3,5.98,6.08,6.76,1122,9758,1880,2482,No,,,,,,,,,,,,,,,,,0
http://www.esri.com,8,8,198.102.62.4,,United States,California,17600,10900,1,1,5/16/2014 17:10,n/f,n/f,n/f,n/f,n/f,n/f,0,n/f,,,,,19278,-1,Yes,92.01,91.06,7,7.01,6.93,7.62,170367,12957,7011,8461,No,,,,,,,,,,,,,,,,,0
http://www.mail.newdeal20.com,0,0,70.32.75.90,,United States,California,101,97,0,0,5/16/2014 18:42,n/f,n/f,n/f,n/f,n/f,n/f,0,n/f,,,,,n/f,-1,No,1,8.92,0,0,2.53,2.83,0,n/f,n/f,1,Yes,,,,,,,,,,,,,,,,,0
http://www.nextnewdeal.net,6,6,70.32.75.90,,United States,California,10700,1480,1,1,5/16/2014 18:42,n/f,n/f,n/f,n/f,n/f,n/f,0,n/f,,,,,462,-1,No,68.25,62.23,5.74,6.25,5.27,5.81,46682,656822,188407,797,No,,,,,,,,,,,,,,,,,0
http://www.brisbanetimes.com.au,7,7,119.15.70.141,,Australia,,1740000,1210000,1,1,n/f,n/f,n/f,n/f,n/f,n/f,n/f,0,n/f,,,,,2861,-1,Yes,84.4,81.28,6.39,6.41,6.34,6.6,409243,8327,149,6373,No,n/f,10,584/310,English/simple,7y 2m 25d,n/f,200,900,1399,3337,414,2315,0,0,18,71,0
http://www.ballarat.edu.au,6,6,141.132.88.207,,Australia,Victoria,2470,1770,1,1,5/14/2014 20:36,n/f,n/f,n/f,n/f,n/f,n/f,0,n/f,,,,,138,-1,Yes,74.09,68.58,6.24,6.17,5.57,6,15718,622682,16862,1477,No,,,,,,,,,,,,,,,,,0
http://www.acponline.org,7,7,12.104.109.27,,United States,District of Columbia,24500,8620,1,1,5/15/2014 13:32,n/f,n/f,n/f,n/f,n/f,n/f,0,n/f,,,,,9087,-1,Yes,84.9,81.59,6.5,6.57,6.37,6.96,53919,120034,36838,2636,No,,,,,,,,,,,,,,,,,0
http://www.nursingtimes.net,6,6,130.185.67.86,,United Kingdom,,34300,18900,1,1,5/17/2014 7:46,n/f,n/f,n/f,n/f,n/f,n/f,0,n/f,,,,,14664,-1,Yes,69.62,63.29,5.63,5.96,5.79,6.12,8973,113133,13245,1212,No,,,,,,,,,,,,,,,,,0
http://consumerguideauto.howstuffworks.com,7,7,54.236.73.243,,United States,Virginia,178,146,1,1,5/14/2014 22:37,n/f,n/f,n/f,n/f,n/f,n/f,0,n/f,,,,,1171177,-1,No,71.02,91.27,5.94,6.42,7.11,7.43,34086,669,322,50011,Yes,,,,,,,,,,,,,,,,,0
http://www.dpreview.com,8,8,107.23.163.75,,United States,Virginia,1620000,1050000,1,1,5/17/2014 8:33,n/f,n/f,n/f,n/f,n/f,n/f,0,n/f,,,,,105619,-1,Yes,91.47,89.5,7.27,6.77,6.56,6.65,762758,1351,926,41682,No,,,,,,,,,,,,,,,,,0
http://www.port.ac.uk,7,7,148.197.254.34,,United Kingdom,Portsmouth,22000,8800,1,1,5/16/2014 9:59,n/f,n/f,n/f,n/f,n/f,n/f,0,n/f,,,,,1538,-1,No,80.66,76.43,6.79,6.4,6.11,6.64,41698,77503,3324,2842,No,,,,,,,,,,,,,,,,,0
http://www.kiwiblog.co.nz,7,7,203.114.129.100,,New Zealand,,61400,7700,1,1,5/17/2014 8:35,n/f,n/f,n/f,n/f,n/f,n/f,0,n/f,,,,,222,-1,Yes,61.26,53.39,5.49,6.06,4.94,5.61,59081,91995,150,625,No,,,,,,,,,,,,,,,,,0
http://www.nasponline.org,7,7,38.101.186.200,,United States,District of Columbia,10600,3230,1,1,5/17/2014 7:35,n/f,n/f,n/f,n/f,n/f,n/f,0,n/f,,,,,5988,-1,Yes,79.28,75.28,6.46,6.64,6.14,6.92,118636,314346,128112,1869,No,,,,,,,,,,,,,,,,,0
